,Alloys (wt.%),Alloys (wt.%),Alloys (wt.%),Alloys (wt.%),Alloys (wt.%)
,Fe,Cr,Ni,Co,Cu
FeCoNiCr,24.58,25.12,25.92,24.90,-
FeCoNiCrCu0.5,20.47,16.48,25.48,23.99,13.49
FeCoNiCrCu,18.78,16.25,21.78,21.50,21.69
