Constituent,Constituent,"Concentration, at.%","Concentration, at.%","Concentration, at.%","Concentration, at.%","Concentration, at.%"
#,Designation,Al,Cr,Fe,Ni,Mn
1,Matrix,3.8,24.9,46.9,4,20.4
2,Particles,21.1,3.9,11.8,42.2,21
Alloy composition,Alloy composition,10.6,18.2,35.9,14.6,20.7
