Constituent,Constituent,"Concentration, at.%","Concentration, at.%","Concentration, at.%","Concentration, at.%","Concentration, at.%"
#,Designation,Al,Cr,Fe,Ni,Mn
1,fcc phase,7.3,14.9,41.1,13.4,23.3
2,Coarse B2 particles,27.6,4.4,11.2,39.5,17.3
3,bcc phase with fine B2 particles,9.8,18.6,34.5,16.7,20.5
Alloy composition,Alloy composition,10.6,18.2,35.9,14.6,20.7
