Components,Lattice constants of the BCC/FCC phases (nm),Lattice constants of the BCC/FCC phases (nm)
Nb20Ni20Ti20Co20Zr20,0.314 (FCC),0.333 (FCC)
Nb16.7Ni16.7Ti16.7Co16.7Zr16.7Hf16.7,0.448 (BCC),0.474 (FCC)
