Sample,Nb20Ni20Ti20Co20Zr20,Nb20Ni20Ti20Co20Zr20,Nb16.7Ni16.7Ti16.7Co16.7Zr16.7Hf16.7,Nb16.7Ni16.7Ti16.7Co16.7Zr16.7Hf16.7
Sample,As-cast,Annealed,As-cast,Annealed
Hardness (HV),527.3+-6.9,489.2+-25.3,515.5+-11.2,520.1+-2.0
