,,Cu (%),Co (%),Cr (%),Fe (%),Ni (%),,,Cu (%),Co (%),Cr (%),Fe (%),Ni (%)
as-cast,ID,68,7,8,7,10,650 degC,ID,72,6,6,6,9
as-cast,DR,10,22,24,22,22,650 degC,DR,13,21,24,22,19
350 degC,ID,71,6,6,6,11,800 degC,ID,72,6,5,6,9
350 degC,DR,10,23,23,23,21,800 degC,DR,15,19,27,20,20
500 degC,ID,70,7,6,7,11,950 degC,ID,73,6,5,6,9
500 degC,DR,9,25,22,23,20,950 degC,DR,8,23,22,23,22
