Alloy,s 0.2 (MPa),s  b  (MPa),e  p  (%)
Al09,770.0,3002.4,37.1
Al10,843.2,3450.4,34.6
Al11,1044.0,3513.0,27.1
Al12,906.8,3607.6,31.4
Al13,1122.8,3705.3,24.7
