,Volume fraction (%),Volume fraction (%),Volume fraction (%)
,NiMn,FeCo,Cr
ps = 65.3deg (e ~0.08),20.4,13.3,10.2
ps = 35.3deg (e ~0.22),12.5,7.1,8.4
