Ageing cycle,sy (GPa),smax (Gpa),ep (%)
600degC/168 h,1.31,2.60,16.8
800degC/168 h,1.17,2.94,21.6
1000degC/168 h,1.07,2.83,24.9
1200degC/168 h,1.13,3.02,24.2
