Sample,Lattice Parameter (A),Lattice Parameter (A)
Sample,FCC,BCC
As-Deposited,-,2.874
Aged 600 degC-168 h,-,2.875
Aged 800 degC-168 h,3.579,2.872
Aged 1000 degC-168 h,3.583,2.872
Aged 1200 degC-168 h,3.591,2.869
