,Metal,Metal,Metal,Metal,Metal,Metal,Metal,Metal,Metal
,Nb,Cr,Mo,Ta,Ti,Zr,Alloy (Calc),Alloy Cast (Exp),Alloy HIP (Exp)
r (g/cm3),8.57,7.14,10.28,16.65,4.51,6.51,8.23,8.02,8.23
