,Metal,Metal,Metal,Metal,Metal,Metal,Metal,Metal
,Nb,Cr,Mo,Ta,Ti,Zr,Alloy (Calc),Alloy (Exp)
H  v  (MPa),1320,1060,1530,873,970,903,1097,5288
