Phase,Microstructural State,Vickers Microhardness (-)
Zr-Hf-rich,As-cast,280.5 +- 11.9
Zr-Hf-rich,HPT processed,367.2 +- 2.4
Nb-Ta-rich,As-cast,267.7 +- 13.6
Nb-Ta-rich,HPT processed,478.6 +- 3.4
