Table ID,Table Path,Table Label,Table Caption,Table Footer
tbl1,C:\Users\D. Sai Mani Kumar\Downloads\XML_Extractor\articles_test\10.1016.j.actamat.2018.05.009\tables\Table 1.csv,Table 1,"Compositions of the fcc matrix, L12 and grain boundary (GB) B2 phase in atomic percent from APT and CHEMI-STEM EDS in CRSA-620 condition.",
tbl2,C:\Users\D. Sai Mani Kumar\Downloads\XML_Extractor\articles_test\10.1016.j.actamat.2018.05.009\tables\Table 2.csv,Table 2,"Compositions of the fcc matrix, B2 and Sigma phase in atomic percent from APT in CR-620 condition.",
