at%,Ti05,Ti05,Al01Ti04,Al01Ti04,Al02Ti03,Al02Ti03,Al03Ti02,Al03Ti02
at%,g,g',g,g',g,g',g,g'
Al,-,-,0.8,1.3,2.6,6.9,3.6,10.7
Co,27.8,17.0,31.8,16.7,32.8,19.0,30.0,18.6
Cr,29.4,12.9,19.4,7.0,22.6,8.5,20.2,9.4
Fe,24.4,11.9,20.8,7.3,19.8,9.0,20.4,9.6
Ni,15.2,34.6,23.4,51.4,19.0,44.8,23.4,44.8
Ti,3.2,17.0,3.8,16.2,2.8,11.3,2.4,6.8
DSmix,-1.46R,-1.49R,-1.51R,-1.37R,-1.53R,-1.53R,-1.56R,-1.54R
