Place of analysis,Elements [%at.],Elements [%at.],Elements [%at.],Elements [%at.]
Place of analysis,Zr,Nb,Sc,Ti
1 (lath),33.4+-2,6.7+-3.1,47.8+-1.5,12.4+-1.8
2 (between lath),28.2+-1.3,27.5+-2.7,12.9+-1.8,31.3+-1.3
