Designation,E corr    (mVSHE),i corr    (mA/cm2),E pp    (mVSHE),i pass    (mA/cm2),E b    (mVSHE),E prot    (mVSHE),E rp    (mVSHE),DE    (mV)
Mo0,-443,0.57,-219,1.46,338,85,32.5,557
Mo0.1,-381,0.13,-215,3.80,1214,-,761,1429
Mo0.5,-493,0.20,-219,4.10,1164,-,755,1383
Mo0.8,-551,0.41,-189,5.11,1182,-,476,1371
