Element,Co1.5CrFeNi1.5Ti0.5Mo0.5 (atom%),Co1.5CrFeNi1.5Ti0.5Mo0.5 (atom%)
Element,A,B
Co,21.9,24.4
Cr,20.7,18.0
Fe,12.8,17.6
Ni,13.8,27.1
Ti,6.9,6.5
Mo,23.9,6.4
