Designation,Composition (atomic mole ratio),Co(58.93) (%),Cr(52.00) (%),Fe(55.85) (%),Ni(58.69) (%),Ti(47.88) (%),Mo(95.94) (%)
Mo0,Co1.5CrFeNi1.5Ti0.5Mo0,28.68,16.87,18.12,28.56,7.77,0
Mo0.1,Co1.5CrFeNi1.5Ti0.5Mo0.1,27.81,16.36,17.57,27.70,7.53,3.02
Mo0.5,Co1.5CrFeNi1.5Ti0.5Mo0.5,24.82,14.60,15.68,24.72,6.72,13.47
Mo0.8,Co1.5CrFeNi1.5Ti0.5Mo0.8,22.96,13.51,14.51,22.87,6.22,19.94
