Alloy,"Microhardness, HV"
CrNbTiVZr (Al0),520+-10
Al0.25CrNbTiVZr (Al0.25),650+-35
Al0.5CrNbTiVZr (Al0.5),660+-20
AlCrNbTiVZr (Al1),670+-20
