,Fraction,Cr,Nb,Ti,V,Zr
NbTiVZr,,,,,,
A2-1,0.636,,13.6,32.4,18.5,35.5
A2-2,0.364,,45.0,12.0,36.3,6.7
,,,,,,
NbTiV2Zr,,,,,,
A2-1,0.477,,7.6,31.4,23.0,38.0
A2-2,0.523,,31.3,9.6,55.6,3.6
,,,,,,
CrNbTiZr,,,,,,
A2-1,0.633,0.9,39.5,39.5,,20.2
C15,0.367,66.6,,0.04,,33.3
,,,,,,
CrNbTiVZr,,,,,,
A2-1,0.338,1.7,16.3,37.4,21.6,23.0
C15,0.288,66.6,,0.03,,33.4
A2-2,0.374,0.7,38.8,19.6,33.9,7.0
