,Fraction,Cr,Nb,Ti,V,Zr
NbTiVZr,,,,,,
A2-2,0.535,,46.5,6.1,46.3,1.1
A3,0.465,,0.2,46.8,0.5,52.5
,,,,,,
NbTiV2Zr,,,,,,
A2-2,0.646,,30.9,6.8,61.6,0.7
A3,0.354,,0.1,44.1,0.6,55.1
,,,,,,
CrNbTiZr,,,,,,
A2-1,0.264,0.0,93.9,3.8,,2.3
C15,0.375,66.6,,0.02,,33.3
A3,0.361,0.0,0.5,66.5,,33.0
,,,,,,
CrNbTiVZr,,,,,,
C15,0.300,66.6,,0.02,,33.3
A2-2,0.439,0.0,45.4,8.4,45.2,1.0
A3,0.261,0.0,0.3,62.5,0.6,36.6
