"Element (atomic radius, A)",Al,Fe,Ni,Co,Cu
Al (1.43),-,-11,-22,-19,-1
Fe (1.27),-11,-,-2,-1,13
Ni (1.25),-22,-2,-,0,4
Co(1.26),-19,-1,0,-,12
Cu(1.28),-1,13,4,12,-
