,Chemical compositions(at. %),a B2 (A),a BCC (A),e (%),r (nm),L    (10-1)
M1111,Al12.5Ni21.875Co21.875Fe21.875Cr21.875,2.871+-0.007,2.854+-0.006,0.59+-0.15,-,-
M4433,Al12.5Ni25Co25Fe18.75Cr18.75,2.876+-0.004,2.871+-0.002,0.17+-0.08,60,0.2
M1121,Al12.5Ni17.5Co17.5Fe35Cr17.5,2.851+-0.005,2.862+-0.004,-0.38 +- 0.07,70,1.1
M1112,Al12.5Ni17.5Co17.5Fe17.5Cr35,2.869+-0.006,2.856+-0.003,0.45+-0.11,100,2.1
Al3M14,Al17.64Ni20.59Co20.59Fe20.59Cr20.59,2.884+-0.005,2.866+-0.004,0.63+-0.17,-,-
